City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Kutum,SD,77.94,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
150,Ratnagiri,IN,86.41,clear sky,16.9833,73.3,Hotel Landmark
160,Bengkulu,ID,82.81,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
165,Matara,LK,87.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
166,Moerai,PF,79.48,few clouds,-22.4333,-151.3333,Le Manotel
167,Sumbe,AO,76.86,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
171,Cabo San Lucas,MX,76.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Acarau,BR,77.54,broken clouds,-2.8856,-40.12,castelo pizzaria
178,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
184,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
185,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
191,Kalmunai,LK,86.7,broken clouds,7.4167,81.8167,VS Villa
193,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
199,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
203,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
206,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
209,Mogadishu,SO,83.95,light rain,2.0371,45.3438,Hotel Juba
217,Bonthe,SL,76.35,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
219,Trairi,BR,76.33,broken clouds,-3.2778,-39.2689,janelas do mar
222,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
224,Kanigoro,ID,86.22,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
228,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Miragoane,HT,77.9,overcast clouds,18.4423,-73.0876,Wj hotel
231,Koungou,YT,80.31,few clouds,-12.7336,45.2042,Villa Netibor
236,Namatanai,PG,85.5,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
239,Saint-Pierre,RE,79.29,few clouds,-21.3393,55.4781,Lindsey Hôtel
246,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
251,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
254,Daru,PG,83.39,broken clouds,-9.0763,143.2092,Daru Lodge
255,Maria Chiquita,PA,81.3,overcast clouds,9.4431,-79.7558,La Casa del Rio
256,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
264,Tual,ID,84.06,light rain,-5.6667,132.75,Grand Vilia Hotel
272,Touros,BR,77.09,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
273,Zabid,YE,86.4,clear sky,14.1951,43.3152,مغرب التريبه
275,Champerico,GT,83.44,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
279,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
280,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
286,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
290,Asyut,EG,77.18,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
293,Bac Lieu,VN,87.8,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
298,Port-Gentil,GA,80.42,light rain,-0.7193,8.7815,Fengshui Residence
299,Mount Isa,AU,94.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
300,Buala,SB,81.0,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
302,Anapoima,CO,77.79,overcast clouds,4.5203,-74.5394,La Boutique Hotel
307,Marawi,PH,78.42,overcast clouds,7.9986,124.2928,Derogongan Residence
310,Venice,US,76.98,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
315,Alyangula,AU,89.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
318,Panama City,PA,81.28,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
320,Miri,MY,91.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
322,Palmas,BR,76.87,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
323,Atambua,ID,83.5,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
326,Mackay,AU,82.69,light rain,-21.15,149.2,International Lodge Motel
327,Lorengau,PG,84.34,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
332,Inverell,AU,79.11,scattered clouds,-29.7833,151.1167,Sapphire City Motor Inn
335,Meulaboh,ID,85.66,overcast clouds,4.1363,96.1285,Kost Pria
346,Tabuk,PH,88.18,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
348,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
354,Byron Bay,AU,76.95,broken clouds,-28.65,153.6167,Backpackers Inn
356,Kilindoni,TZ,80.19,light rain,-7.9139,39.6668,Bustani B&B
358,Bontang,ID,84.49,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
362,Loa Janan,ID,85.95,broken clouds,-0.583,117.095,Kost bu jono
365,Pekan,MY,84.31,heavy intensity rain,3.4836,103.3996,Pekan Budget Hotel
370,San Onofre,CO,79.57,overcast clouds,9.7359,-75.5263,Hotel Sinai
372,Dalbandin,PK,87.66,few clouds,28.8947,64.4101,Sanjrani House
375,Port Blair,IN,87.84,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
376,Sur,OM,89.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
381,Wanning,CN,81.77,scattered clouds,18.8003,110.3967,Paradise Hotel
383,Puerto Escondido,MX,80.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
384,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
386,Vao,NC,77.18,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
387,Palu,ID,91.42,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
393,Kurri Kurri,AU,79.79,overcast clouds,-32.8167,151.4833,Kurri Motor Inn
401,Howard Springs,AU,94.98,scattered clouds,-12.497,131.047,buffalo beach hostel
406,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
