City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Dunedin,NZ,-45.8742,170.5036,59.81,67,18,13.0,few clouds
163,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
164,Calvinia,ZA,-31.4707,19.776,57.25,55,38,6.96,scattered clouds
165,Matara,LK,5.9485,80.5353,87.46,63,99,8.16,overcast clouds
166,Moerai,PF,-22.4333,-151.3333,79.48,69,12,1.41,few clouds
167,Sumbe,AO,-11.2061,13.8437,76.86,90,100,4.29,overcast clouds
168,Ixtapa,MX,20.7,-105.2,74.23,83,0,0.0,clear sky
169,Fowa,NG,8.9167,6.4,77.76,84,100,5.32,overcast clouds
170,Lanchyn,UA,48.5578,24.7562,32.43,81,84,4.09,light snow
171,Cabo San Lucas,MX,22.8909,-109.9124,76.51,64,99,6.35,overcast clouds
172,Leshan,CN,29.5623,103.7639,69.53,49,100,2.06,overcast clouds
173,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,33,40,11.18,scattered clouds
174,Jumla,NP,29.2747,82.1838,71.73,23,52,5.3,broken clouds
175,Acarau,BR,-2.8856,-40.12,77.54,86,57,4.61,broken clouds
176,Aklavik,CA,68.2191,-135.0107,7.92,92,91,7.31,overcast clouds
177,La Plata,AR,-34.9215,-57.9545,63.82,86,100,9.28,overcast clouds
178,Kapaa,US,22.0752,-159.319,80.58,78,40,20.71,scattered clouds
179,Bonavista,CA,48.6499,-53.1147,39.27,95,100,16.96,overcast clouds
180,Hamilton,US,39.1834,-84.5333,45.43,55,0,5.01,clear sky
181,Bharatpur,IN,27.2167,77.4833,102.56,12,0,11.36,clear sky
182,Karaman,TR,37.0833,33.25,64.53,25,53,25.55,light rain
183,Kodino,RU,63.7198,39.6447,35.87,90,99,4.92,overcast clouds
184,Noumea,NC,-22.2763,166.4572,82.38,72,73,5.37,broken clouds
185,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,13.8,few clouds
